黒,名詞,一般,,,,,黒,クロ,クロ
が,助詞,格助詞,一般,,,,が,ガ,ガ
幾つ,名詞,代名詞,一般,,,,幾つ,イクツ,イクツ
も,助詞,係助詞,,,,,も,モ,モ
ころげ,動詞,自立,,,一段,連用形,ころげる,コロゲ,コロゲ
出す,動詞,非自立,,,五段・サ行,基本形,出す,ダス,ダス
だら,助動詞,,,,特殊・ダ,未然形,だ,ダラ,ダラ
う,助動詞,,,,不変化型,基本形,う,ウ,ウ
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
英字,名詞,一般,,,,,英字,エイジ,エイジ
新聞,名詞,一般,,,,,新聞,シンブン,シンブン
に,助詞,格助詞,一般,,,,に,ニ,ニ
は,助詞,係助詞,,,,,は,ハ,ワ
黄,名詞,一般,,,,,黄,キ,キ
瓜,名詞,一般,,,,,瓜,フリ,フリ
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
包め,動詞,自立,,,一段,連用形,包める,クルメ,クルメ
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
誰,名詞,代名詞,一般,,,,誰,ダレ,ダレ
か,助詞,副助詞／並立助詞／終助詞,,,,,か,カ,カ
あの,フィラー,,,,,,あの,アノ,アノ
ホテル,名詞,一般,,,,,ホテル,ホテル,ホテル
に,助詞,格助詞,一般,,,,に,ニ,ニ
蜂蜜,名詞,一般,,,,,蜂蜜,ハチミツ,ハチミツ
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
塗,名詞,一般,,,,,塗,ヌリ,ヌリ
つて,名詞,一般,,,,,つて,ツテ,ツテ
ゐる,動詞,自立,,,一段,基本形,ゐる,ヰル,イル
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
Ｍ,記号,アルファベット,,,,,Ｍ,エム,エム
夫人,名詞,一般,,,,,夫人,フジン,フジン
——,名詞,サ変接続,,,,,——,——,——
舌,名詞,一般,,,,,舌,シタ,シタ
の,助詞,連体化,,,,,の,ノ,ノ
上,名詞,非自立,副詞可能,,,,上,ジョウ,ジョー
に,助詞,格助詞,一般,,,,に,ニ,ニ
蝶,名詞,一般,,,,,蝶,チョウ,チョー
が,助詞,格助詞,一般,,,,が,ガ,ガ
眠,形容詞,自立,,,形容詞・アウオ段,ガル接続,眠い,ネム,ネム
つ,助動詞,,,,下二・タ行,基本形,つ,ツ,ツ
て,助詞,接続助詞,,,,,て,テ,テ
ゐる,動詞,自立,,,一段,基本形,ゐる,ヰル,イル
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
Ｆ,記号,アルファベット,,,,,Ｆ,エフ,エフ
さん,名詞,接尾,人名,,,,さん,サン,サン
——,名詞,サ変接続,,,,,——,——,——
額,名詞,接尾,一般,,,,額,ガク,ガク
の,助詞,連体化,,,,,の,ノ,ノ
毛,名詞,一般,,,,,毛,ケ,ケ
が,助詞,格助詞,一般,,,,が,ガ,ガ
乞食,名詞,一般,,,,,乞食,コジキ,コジキ
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
し,動詞,自立,,,サ変・スル,連用形,する,シ,シ
て,助詞,接続助詞,,,,,て,テ,テ
ゐる,動詞,自立,,,一段,基本形,ゐる,ヰル,イル
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
Ｏ,記号,アルファベット,,,,,Ｏ,オー,オー
さん,名詞,接尾,人名,,,,さん,サン,サン
——,名詞,サ変接続,,,,,——,——,——
あの,フィラー,,,,,,あの,アノ,アノ
口髭,名詞,一般,,,,,口髭,クチヒゲ,クチヒゲ
は,助詞,係助詞,,,,,は,ハ,ワ
駝鳥,名詞,一般,,,,,駝鳥,ダチョウ,ダチョー
の,助詞,連体化,,,,,の,ノ,ノ
羽根,名詞,一般,,,,,羽根,ハネ,ハネ
だら,助動詞,,,,特殊・ダ,未然形,だ,ダラ,ダラ
う,助動詞,,,,不変化型,基本形,う,ウ,ウ
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
詩人,名詞,一般,,,,,詩人,シジン,シジン
Ｓ,記号,アルファベット,,,,,Ｓ,エス,エス
・,記号,一般,,,,,・,・,・
Ｍ,記号,アルファベット,,,,,Ｍ,エム,エム
の,助詞,連体化,,,,,の,ノ,ノ
言葉,名詞,一般,,,,,言葉,コトバ,コトバ
——,名詞,サ変接続,,,,,——,——,——
芒,名詞,一般,,,,,芒,ススキ,ススキ
の,助詞,連体化,,,,,の,ノ,ノ
穂,名詞,一般,,,,,穂,ホ,ホ
は,助詞,係助詞,,,,,は,ハ,ワ
毛皮,名詞,一般,,,,,毛皮,ケガワ,ケガワ
だ,助動詞,,,,特殊・ダ,基本形,だ,ダ,ダ
ね,助詞,終助詞,,,,,ね,ネ,ネ
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
或,連体詞,,,,,,或,アル,アル
牧師,名詞,一般,,,,,牧師,ボクシ,ボクシ
の,助詞,連体化,,,,,の,ノ,ノ
顔,名詞,一般,,,,,顔,カオ,カオ
——,名詞,サ変接続,,,,,——,——,——
臍,名詞,一般,,,,,臍,ホゾ,ホゾ
！,記号,一般,,,,,！,！,！
×,記号,一般,,,,,×,カケル,カケル
レエス,名詞,一般,,,,,レエス,レエス,レエス
や,助詞,並立助詞,,,,,や,ヤ,ヤ
ナプキン,名詞,一般,,,,,ナプキン,ナプキン,ナプキン
の,助詞,連体化,,,,,の,ノ,ノ
中,名詞,非自立,副詞可能,,,,中,ナカ,ナカ
へ,助詞,格助詞,一般,,,,へ,ヘ,エ
ずり落ちる,動詞,自立,,,一段,基本形,ずり落ちる,ズリオチル,ズリオチル
道,名詞,一般,,,,,道,ミチ,ミチ
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
碓氷,名詞,固有名詞,人名,姓,,,碓氷,ウスイ,ウスイ
山上,名詞,一般,,,,,山上,サンジョウ,サンジョー
の,助詞,連体化,,,,,の,ノ,ノ
月,名詞,一般,,,,,月,ツキ,ツキ
、,記号,読点,,,,,、,、,、
——,名詞,サ変接続,,,,,——,——,——
月,名詞,接尾,一般,,,,月,ガツ,ガツ
に,助詞,格助詞,一般,,,,に,ニ,ニ
も,助詞,係助詞,,,,,も,モ,モ
かすか,名詞,形容動詞語幹,,,,,かすか,カスカ,カスカ
に,助詞,副詞化,,,,,に,ニ,ニ
苔,名詞,一般,,,,,苔,コケ,コケ
が,助詞,格助詞,一般,,,,が,ガ,ガ
生え,動詞,自立,,,一段,連用形,生える,ハエ,ハエ
て,助詞,接続助詞,,,,,て,テ,テ
ゐる,動詞,自立,,,一段,基本形,ゐる,ヰル,イル
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
Ｈ,記号,アルファベット,,,,,Ｈ,エイチ,エイチ
老,接頭詞,名詞接続,,,,,老,ロウ,ロー
夫人,名詞,一般,,,,,夫人,フジン,フジン
の,助詞,連体化,,,,,の,ノ,ノ
死,名詞,一般,,,,,死,シ,シ
、,記号,読点,,,,,、,、,、
——,名詞,サ変接続,,,,,——,——,——
霧,名詞,一般,,,,,霧,キリ,キリ
は,助詞,係助詞,,,,,は,ハ,ワ
仏蘭西,名詞,固有名詞,地域,国,,,仏蘭西,フランス,フランス
の,助詞,連体化,,,,,の,ノ,ノ
幽霊,名詞,一般,,,,,幽霊,ユウレイ,ユーレイ
に,助詞,格助詞,一般,,,,に,ニ,ニ
似,動詞,自立,,,一段,連用形,似る,ニ,ニ
て,助詞,接続助詞,,,,,て,テ,テ
ゐる,動詞,自立,,,一段,基本形,ゐる,ヰル,イル
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
馬蝿,名詞,一般,,,,,馬蝿,ウマバエ,ウマバエ
は,助詞,係助詞,,,,,は,ハ,ワ
水星,名詞,一般,,,,,水星,スイセイ,スイセイ
に,助詞,格助詞,一般,,,,に,ニ,ニ
も,助詞,係助詞,,,,,も,モ,モ
群,名詞,一般,,,,,群,グン,グン
つて,名詞,一般,,,,,つて,ツテ,ツテ
行,名詞,接尾,地域,,,,行,イキ,イキ
つ,助動詞,,,,下二・タ行,基本形,つ,ツ,ツ
た,助動詞,,,,特殊・タ,基本形,た,タ,タ
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
ハムモツク,名詞,一般,,,,,ハムモツク,ハムモツク,ハムモツク
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
額,名詞,一般,,,,,額,ガク,ガク
に,助詞,格助詞,一般,,,,に,ニ,ニ
感じる,動詞,自立,,,一段,基本形,感じる,カンジル,カンジル
うるささ,名詞,一般,,,,,うるささ,ウルササ,ウルササ
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
雷,名詞,一般,,,,,雷,カミナリ,カミナリ
は,助詞,係助詞,,,,,は,ハ,ワ
胡椒,名詞,一般,,,,,胡椒,コショウ,コショー
より,助詞,格助詞,一般,,,,より,ヨリ,ヨリ
も,助詞,係助詞,,,,,も,モ,モ
辛い,形容詞,自立,,,形容詞・アウオ段,基本形,辛い,ツライ,ツライ
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
「,記号,括弧開,,,,,「,「,「
巨人,名詞,固有名詞,組織,,,,巨人,キョジン,キョジン
の,助詞,連体化,,,,,の,ノ,ノ
椅子,名詞,一般,,,,,椅子,イス,イス
」,記号,括弧閉,,,,,」,」,」
と,助詞,格助詞,引用,,,,と,ト,ト
云う,動詞,自立,,,五段・ワ行促音便,基本形,云う,イウ,イウ
岩,名詞,一般,,,,,岩,イワ,イワ
の,助詞,格助詞,一般,,,,の,ノ,ノ
ある,動詞,自立,,,五段・ラ行,基本形,ある,アル,アル
山,名詞,一般,,,,,山,ヤマ,ヤマ
、,記号,読点,,,,,、,、,、
——,名詞,サ変接続,,,,,——,——,——
瞬か,動詞,自立,,,五段・カ行イ音便,未然形,瞬く,シバタカ,シバタカ
ない,助動詞,,,,特殊・ナイ,基本形,ない,ナイ,ナイ
顔,名詞,一般,,,,,顔,カオ,カオ
が,助詞,格助詞,一般,,,,が,ガ,ガ
一つ,名詞,一般,,,,,一つ,ヒトツ,ヒトツ
見える,動詞,自立,,,一段,基本形,見える,ミエル,ミエル
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
あの,フィラー,,,,,,あの,アノ,アノ
家,名詞,一般,,,,,家,イエ,イエ
は,助詞,係助詞,,,,,は,ハ,ワ
桃色,名詞,一般,,,,,桃色,モモイロ,モモイロ
の,助詞,連体化,,,,,の,ノ,ノ
歯齦,名詞,一般,,,,,歯齦,シギン,シギン
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
し,動詞,自立,,,サ変・スル,連用形,する,シ,シ
て,助詞,接続助詞,,,,,て,テ,テ
ゐる,動詞,自立,,,一段,基本形,ゐる,ヰル,イル
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
羊,名詞,一般,,,,,羊,ヒツジ,ヒツジ
の,助詞,連体化,,,,,の,ノ,ノ
肉,名詞,一般,,,,,肉,ニク,ニク
に,助詞,格助詞,一般,,,,に,ニ,ニ
は,助詞,係助詞,,,,,は,ハ,ワ
羊歯,名詞,一般,,,,,羊歯,シダ,シダ
の,助詞,連体化,,,,,の,ノ,ノ
葉,名詞,一般,,,,,葉,ハ,ハ
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
添,名詞,一般,,,,,添,添,添
へ,助詞,格助詞,一般,,,,へ,ヘ,エ
給,名詞,サ変接続,,,,,給,キュウ,キュー
へ,助詞,格助詞,一般,,,,へ,ヘ,エ
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
さ,副詞,助詞類接続,,,,,さ,サ,サ
やう,名詞,非自立,助動詞語幹,,,,やう,ヤウ,ヨー
なら,助動詞,,,,特殊・ダ,仮定形,だ,ナラ,ナラ
。,記号,句点,,,,,。,。,。
手風琴,名詞,一般,,,,,手風琴,テフウキン,テフーキン
の,助詞,連体化,,,,,の,ノ,ノ
町,名詞,一般,,,,,町,マチ,マチ
、,記号,読点,,,,,、,、,、
さようなら,感動詞,,,,,,さようなら,サヨウナラ,サヨーナラ
、,記号,読点,,,,,、,、,、
僕,名詞,代名詞,一般,,,,僕,ボク,ボク
の,助詞,連体化,,,,,の,ノ,ノ
抒情詩,名詞,一般,,,,,抒情詩,ジョジョウシ,ジョジョーシ
時代,名詞,一般,,,,,時代,ジダイ,ジダイ
。,記号,句点,,,,,。,。,。
（,記号,括弧開,,,,,（,（,（
大正,名詞,固有名詞,一般,,,,大正,タイショウ,タイショー
十,名詞,数,,,,,十,ジュウ,ジュー
四,名詞,数,,,,,四,ヨン,ヨン
年,名詞,接尾,助数詞,,,,年,ネン,ネン
稿,名詞,一般,,,,,稿,コウ,コー
）,記号,括弧閉,,,,,）,）,）
