人物	セリフ
可憐	ここからだと、満月がキレイに見えるんじゃないかと思って、ふらふらと…。ご、ご心配をおかけしてすみません…。
P	ここから?…おっ、本当だ。この岩場の上からだと、月と海美と神社が1枚の絵みたいに見えるんだな。
P	よく見つけたな。可憐。
可憐	え、えへへ…♪こんなにキレイだと、思わず…み、見とれてしまいますよね…。
可憐	わ、私…キレイな景色を、うっとり眺めながら、のんびりするのが好きだから…。
可憐	どこにいても…い、いちばん、長めのいい場所を…つい、探しちゃうんです…。
P	なるほど…。可憐だからこそ見つけられた、絶好の月見スポットかもしれないな。
可憐	そ、そんな大したものじゃないです、けど…。でも、プロデューサーさんが、気に入ってくれて、よ、よかった…♪
P	(それにしても…月の光を浴びた可憐は、いつも以上に神秘的でキレイだな…。これでまだ16才なんだから末恐ろしい)
可憐	……。
P	えっ…。
P	(か、可憐が急に身を寄せてきたぞ…!こ、これはいったい…!?)
P	か、可憐…?どうした?急に近づいてきたりして…。
可憐	い、いえ…少し、は、肌寒くなってきたので…ちょっとでも体が近づけば、あ、温かくなるかなって。…え、えへへ♪
P	た、たしかに温かくなったが…。その、肩が触れていて、だな…あー…。そ、そうだ!寒いなら上着を貸すぞ!
可憐	……ふふっ。
可憐	な、なんだか、今のプロデューサーさん…普段の、私みたいになってます…。声も小さいし…おどおどしてて…。
P	う…そ、そうかな…。
可憐	そうですよ…♪
可憐	あっ…上着、ありがとうございます。プロデューサーさんの匂いがして…胸の奥から、温かくなります。てへへ♪
可憐	で、でも…これだと、プロデューサーさんが寒くなっちゃいますし…。やっぱり、肩を寄せてた方がいいですよ…?
P	い、いや、だからそれは…。
美也	お〜、プロデューサーさんと可憐ちゃん、こんなところにいたんですね〜。岩場に座って、人魚ごっこですか〜?
P	み、美也…。風花…!
風花	も〜、探したんですよ?早く来ないと、ふたりの分のお団子、食べちゃいますからね!
風花	…あれ?プロデューサーさん、なんだか顔が…?
美也	…何やら、真っ赤になっていますね〜。これは…むむむ。
美也	わかりましたよ〜。プロデューサーさんは、可憐ちゃんの魅力にノックアウトされてしまったんですね〜。
P	み、美也!?
P	(いつもずれてるのに、ど、どうして今回はそんなに鋭いんだ…!?)
P	い、いや、歩きまわったせいか、なんだか暑くて…。可憐が寒いっていうから、上着を貸したんだよ。うん。
美也	うふふ〜♪
可憐	そ、そうなんです…プロデューサーさんが、上着を貸してくれて…。てへへ♪
P	それより、ほら!みんなで、お月見団子を食べるんだろ?早く、元の場所に戻ろう!なっ!
風花/美也	は〜い。
可憐	ぷ、プロデューサーさん…。
P	ん?どうした、可憐。まだ寒いのか?
可憐	い、いえ、そうじゃなくて…。みんなといると…と、とっても、にぎやかで…楽しいです…。
P	そうか。それはよかった。
可憐	でも…ま、また来年…その、今度は、もっとゆっくり…。プロデューサーさんと…、お月見、したいなぁ…なんて。…えへへ♪
可憐	そ、それじゃあ、私も、みんなのところに行ってきますね。プロデューサーさん、また、あとで…。
P	お、おう!またあとでな!
P	…ふう。
P	(…まさか、可憐にどぎまぎさせられてしまうとは…。俺も、ロマンチックな雰囲気とやらに、あてられたのかな…?)
P	(でも、いつもの可憐とは違う魅力を発見できた気がする。仲間とも親交深められたみたいだし、いい1日になったな…)
